playerID,yearID,teamID,inseason,G,W,L
gerhajo01,1890,SL4,6,38,20,16
frazege99,1890,SR2,1,71,31,40
fessewa99,1890,SR2,2,11,4,7
frazege99,1890,SR2,3,46,20,25
mortoch01,1890,TL2,1,134,68,64
mcgunbi01,1890,BRO,1,129,86,43
seleefr99,1890,BSN,1,134,76,57
ansonca01,1890,CHN,1,139,84,53
loftuto01,1890,CIN,1,134,77,55
schmegu99,1890,CL4,1,78,21,55
leadlbo99,1890,CL4,2,58,23,33
mutriji99,1890,NY1,1,135,63,68
wrighha01,1890,PHI,1,22,14,8
clemeja01,1890,PHI,2,19,13,6
reachal01,1890,PHI,3,11,4,7
allenbo01,1890,PHI,4,35,25,10
wrighha01,1890,PHI,5,46,22,23
heckegu01,1890,PIT,1,138,23,113
roweja01,1890,BFP,1,81,22,58
faatzja01,1890,BFP,2,34,9,24
roweja01,1890,BFP,3,19,5,14
wardjo01,1890,BRP,1,133,76,56
kellyki01,1890,BSP,1,133,81,48
comisch01,1890,CHP,1,138,75,62
larkihe01,1890,CLP,1,79,34,45
tebeapa01,1890,CLP,2,52,21,30
ewingbu01,1890,NYP,1,132,74,57
fogarji01,1890,PHP,1,16,7,9
buffich01,1890,PHP,2,116,61,54
hanlone01,1890,PTP,1,131,60,68
barnibi01,1891,BL3,1,139,71,64
irwinar01,1891,BS2,1,139,93,42
schmegu99,1891,CL6,1,138,61,76
kellyki01,1891,CN3,1,102,43,57
chapmja01,1891,LS2,1,141,55,84
cushmch99,1891,ML3,1,36,21,15
sharsbi99,1891,PH4,1,18,6,11
woodge01,1891,PH4,2,125,67,55
comisch01,1891,SL4,1,141,86,52
trottsa01,1891,WS9,1,12,4,7
snydepo01,1891,WS9,2,70,23,46
shannda01,1891,WS9,3,51,15,34
griffsa01,1891,WS9,4,6,2,4
wardjo01,1891,BRO,1,137,61,76
seleefr99,1891,BSN,1,140,87,51
ansonca01,1891,CHN,1,137,82,53
loftuto01,1891,CIN,1,138,56,81
leadlbo99,1891,CL4,1,68,34,34
tebeapa01,1891,CL4,2,73,31,40
mutriji99,1891,NY1,1,136,71,61
wrighha01,1891,PHI,1,138,68,69
hanlone01,1891,PIT,1,78,31,47
mcgunbi01,1891,PIT,2,59,24,33
vanhage01,1892,BLN,1,11,1,10
waltzjo99,1892,BLN,2,8,2,6
hanlone01,1892,BLN,3,133,43,85
wardjo01,1892,BRO,1,158,95,59
seleefr99,1892,BSN,1,152,102,48
ansonca01,1892,CHN,1,147,70,76
comisch01,1892,CIN,1,155,82,68
tebeapa01,1892,CL4,1,153,93,56
chapmja01,1892,LS3,1,54,21,33
pfefffr01,1892,LS3,2,100,42,56
powerpa99,1892,NY1,1,153,71,80
wrighha01,1892,PHI,1,155,87,66
buckeal99,1892,PIT,1,29,15,14
burnsto01,1892,PIT,2,60,27,32
buckeal99,1892,PIT,3,66,38,27
glassja01,1892,SLN,1,4,1,3
striccu01,1892,SLN,2,23,6,17
crookja01,1892,SLN,3,62,27,33
gorege01,1892,SLN,4,16,6,9
carutbo01,1892,SLN,5,50,16,32
barnibi01,1892,WAS,1,2,0,2
irwinar01,1892,WAS,2,108,46,60
richada01,1892,WAS,3,43,12,31
hanlone01,1893,BLN,1,130,60,70
foutzda01,1893,BRO,1,130,65,63
seleefr99,1893,BSN,1,131,86,43
ansonca01,1893,CHN,1,128,56,71
comisch01,1893,CIN,1,131,65,63
tebeapa01,1893,CL4,1,129,73,55
barnibi01,1893,LS3,1,126,50,75
wardjo01,1893,NY1,1,136,68,64
wrighha01,1893,PHI,1,133,72,57
buckeal99,1893,PIT,1,131,81,48
watkibi01,1893,SLN,1,135,57,75
orourji01,1893,WAS,1,130,40,89
hanlone01,1894,BLN,1,129,89,39
foutzda01,1894,BRO,1,135,70,61
seleefr99,1894,BSN,1,133,83,49
ansonca01,1894,CHN,1,137,57,75
comisch01,1894,CIN,1,134,55,75
tebeapa01,1894,CL4,1,130,68,61
barnibi01,1894,LS3,1,131,36,94
wardjo01,1894,NY1,1,139,88,44
irwinar01,1894,PHI,1,132,71,57
buckeal99,1894,PIT,1,110,53,55
mackco01,1894,PIT,2,23,12,10
milledo01,1894,SLN,1,133,56,76
schmegu99,1894,WAS,1,132,45,87
hanlone01,1895,BLN,1,132,87,43
foutzda01,1895,BRO,1,134,71,60
seleefr99,1895,BSN,1,133,71,60
ansonca01,1895,CHN,1,133,72,58
ewingbu01,1895,CIN,1,132,66,64
tebeapa01,1895,CL4,1,132,84,46
mcclojo99,1895,LS3,1,133,35,96
davisge01,1895,NY1,1,33,16,17
doyleja01,1895,NY1,2,64,32,31
watkiha99,1895,NY1,3,35,18,17
irwinar01,1895,PHI,1,133,78,53
mackco01,1895,PIT,1,135,71,61
buckeal99,1895,SLN,1,50,16,34
vondech99,1895,SLN,2,1,1,0
quinnjo02,1895,SLN,3,40,11,28
phelale99,1895,SLN,4,45,11,30
