yearID,teamID,name,lgID,divID,G,GHome,W,L,Rank,park,attendance,BPF,PPF
1886,SL5,St. Louis Maroons,NL,,126,,43,79,6,Sportsman's Park I,,94,97
1886,WS8,Washington Nationals,NL,,122,,28,92,8,Swampdoodle Grounds,,94,99
1887,BL2,Baltimore Orioles,AA,,141,,77,58,3,Oriole Park,,94,95
1887,BR3,Brooklyn Grays,AA,,138,,60,74,6,Washington Park I,,101,100
1887,BSN,Boston Beaneaters,NL,,127,,61,60,5,South End Grounds I,,98,97
1887,CHN,Chicago White Stockings,NL,,127,,71,50,3,West Side Park I,,113,110
1887,CL3,Cleveland Blues,AA,,133,,39,92,8,National League Park II,,97,101
1887,CN2,Cincinnati Red Stockings,AA,,135,,81,54,2,League Park I in Cincinnati,,102,101
1887,DTN,Detroit Wolverines,NL,,127,,79,45,1,Recreation Park,,104,100
1887,IN3,Indianapolis Hoosiers,NL,,127,,37,89,8,Athletic Park I,,96,102
1887,LS2,Louisville Colonels,AA,,137,,76,60,4,Eclipse Park I,,102,102
1887,NY1,New York Giants,NL,,129,,68,55,4,Polo Grounds I,,96,93
1887,NY4,New York Metropolitans,AA,,138,,44,89,7,St. George Cricket Grounds,,96,100
1887,PH4,Philadelphia Athletics,AA,,137,,64,69,5,Jefferson Street Grounds,,100,100
1887,PHI,Philadelphia Quakers,NL,,128,,75,48,2,Philadelphia Baseball Grounds,,106,104
1887,PIT,Pittsburg Alleghenys,NL,,125,,55,69,6,Recreation Park,,93,93
1887,SL4,St. Louis Browns,AA,,137,,95,40,1,Sportsman's Park I,,111,106
1887,WS8,Washington Nationals,NL,,126,,46,76,7,Swampdoodle Grounds,,95,100
1888,BL2,Baltimore Orioles,AA,,137,,57,80,5,Oriole Park,,98,98
1888,BR3,Brooklyn Bridegrooms,AA,,143,,88,52,2,Washington Park I,,101,100
1888,BSN,Boston Beaneaters,NL,,137,,70,64,4,South End Grounds II,,104,102
1888,CHN,Chicago White Stockings,NL,,135,,77,58,2,West Side Park I,,107,106
1888,CL3,Cleveland Blues,AA,,135,,50,82,6,National League Park II,,97,101
1888,CN2,Cincinnati Red Stockings,AA,,137,,80,54,4,League Park I in Cincinnati,,105,104
1888,DTN,Detroit Wolverines,NL,,134,,68,63,5,Recreation Park,,100,97
1888,IN3,Indianapolis Hoosiers,NL,,136,,50,85,7,Athletic Park II,,102,104
1888,KC2,Kansas City Cowboys,AA,,132,,43,89,8,Association Park I,,106,112
1888,LS2,Louisville Colonels,AA,,139,,48,87,7,Eclipse Park I,,98,100
1888,NY1,New York Giants,NL,,137,,84,47,1,Polo Grounds I,,99,96
1888,PH4,Philadelphia Athletics,AA,,136,,81,52,3,Jefferson Street Grounds,,100,98
1888,PHI,Philadelphia Quakers,NL,,131,,69,61,3,Philadelphia Baseball Grounds,,105,104
1888,PIT,Pittsburg Alleghenys,NL,,138,,66,68,6,Recreation Park,,92,93
1888,SL4,St. Louis Browns,AA,,137,,92,43,1,Sportsman's Park I,,111,106
1888,WS8,Washington Nationals,NL,,136,,48,86,8,Swampdoodle Grounds,,94,98
1889,BL2,Baltimore Orioles,AA,,139,,70,65,5,Oriole Park,,98,99
1889,BR3,Brooklyn Bridegrooms,AA,,138,,93,44,1,Washington Park I,,95,91
1889,BSN,Boston Beaneaters,NL,,133,,83,45,2,South End Grounds II,,106,104
1889,CHN,Chicago White Stockings,NL,,136,,67,65,3,West Side Park I,,105,103
1889,CL4,Cleveland Spiders,NL,,136,,61,72,6,National League Park,,104,105
1889,CL6,Columbus Solons,AA,,139,,60,78,6,Recreation Park II,,95,94
1889,CN2,Cincinnati Red Stockings,AA,,141,,76,63,4,League Park I in Cincinnati,,105,103
1889,IN3,Indianapolis Hoosiers,NL,,135,,59,75,7,Athletic Park II,,102,104
1889,KC2,Kansas City Cowboys,AA,,139,,55,82,7,Exposition Park,,105,108
1889,LS2,Louisville Colonels,AA,,140,,27,111,8,Eclipse Park I,,98,100
1889,NY1,New York Giants,NL,,131,,83,43,1,Polo Grounds II,,104,101
1889,PH4,Philadelphia Athletics,AA,,138,,75,58,3,Jefferson Street Grounds,,98,99
1889,PHI,Philadelphia Quakers,NL,,130,,63,64,4,Philadelphia Baseball Grounds,,109,108
1889,PIT,Pittsburg Alleghenys,NL,,134,,61,71,5,Recreation Park,,91,93
1889,SL4,St. Louis Browns,AA,,140,,90,45,2,Sportsman's Park I,,113,110
1889,WS8,Washington Nationals,NL,,127,,41,83,8,Swampdoodle Grounds,,94,98
1890,BFP,Buffalo Bisons,PL,,134,,36,96,8,,,92,97
1890,BL3,Baltimore Orioles,AA,,38,,15,19,6,Oriole Park,,109,110
1890,BR4,Brooklyn Gladiators,AA,,100,,26,72,9,Ridgewood Park,,97,101
1890,BRO,Brooklyn Bridegrooms,NL,,129,,86,43,1,Washington Park II,121412,101,97
1890,BRP,Brooklyn Ward's Wonders,PL,,133,,76,56,2,,,106,105
1890,BSN,Boston Beaneaters,NL,,134,,76,57,5,South End Grounds II,147539,108,105
1890,BSP,Boston Reds,PL,,133,,81,48,1,,,103,99
1890,CHN,Chicago Colts,NL,,139,,83,53,2,West Side Park I,102536,104,102
1890,CHP,Chicago Pirates,PL,,138,,75,62,4,,,104,103
1890,CIN,Cincinnati Reds,NL,,134,,77,55,4,League Park I in Cincinnati,131980,101,101
1890,CL4,Cleveland Spiders,NL,,136,,44,88,7,National League Park,47478,94,97
1890,CL6,Columbus Solons,AA,,140,,79,55,2,Recreation Park II,,93,93
1890,CLP,Cleveland Infants,PL,,131,,55,75,7,,,92,94
1890,LS2,Louisville Colonels,AA,,134,,88,44,1,Eclipse Park I,,98,99
1890,NY1,New York Giants,NL,,135,,63,68,6,Polo Grounds II,60667,95,95
1890,NYP,New York Giants,PL,,132,,74,57,3,,,108,107
1890,PH4,Philadelphia Athletics,AA,,132,,54,78,8,Jefferson Street Grounds,,98,99
1890,PHI,Philadelphia Phillies,NL,,133,,78,53,3,Philadelphia Baseball Grounds,148366,103,102
1890,PHP,Philadelphia Athletics,PL,,132,,68,63,5,,,103,101
1890,PIT,Pittsburg Alleghenys,NL,,138,,23,113,8,Recreation Park,16064,88,92
1890,PTP,Pittsburgh Burghers,PL,,131,,60,68,6,,,92,92
1890,RC2,Rochester Broncos,AA,,133,,63,63,5,Culver Field I,,93,92
1890,SL4,St. Louis Browns,AA,,138,,77,58,3,Sportsman's Park I,,114,111
1890,SR2,Syracuse Stars,AA,,127,,55,72,7,Star Park II,,90,91
1890,TL2,Toledo Maumees,AA,,134,,68,64,4,Speranza Park,,103,102
1891,BL3,Baltimore Orioles,AA,,139,,71,64,4,Union Park,,101,100
1891,BRO,Brooklyn Grooms,NL,,137,,61,76,6,Eastern Park,181477,99,99
1891,BS2,Boston Reds,AA,,139,,93,42,1,Congress Street Grounds,,103,99
1891,BSN,Boston Beaneaters,NL,,140,,87,51,1,South End Grounds II,184472,112,109
1891,CHN,Chicago Colts,NL,,137,,82,53,2,South Side Park I,181431,106,105
1891,CIN,Cincinnati Reds,NL,,138,,56,81,7,League Park I in Cincinnati,97500,101,101
1891,CL4,Cleveland Spiders,NL,,141,,65,74,5,League Park I,132000,104,103
1891,CL6,Columbus Solons,AA,,138,,61,76,6,Recreation Park II,,95,93
1891,CN3,Cincinnati Kelly's Killers,AA,,102,,43,57,7,East End Park,,108,110
1891,LS2,Louisville Colonels,AA,,138,,54,83,8,Eclipse Park I,,97,97
1891,ML3,Milwaukee Brewers,AA,,36,,21,15,3,Athletic Field,,120,118
1891,NY1,New York Giants,NL,,136,,71,61,3,Polo Grounds III,210568,96,96
1891,PH4,Philadelphia Athletics,AA,,142,,73,66,5,Athletic Park,,103,103
1891,PHI,Philadelphia Phillies,NL,,138,,68,69,4,Philadelphia Baseball Grounds,217282,103,102
1891,PIT,Pittsburgh Pirates,NL,,137,,55,80,8,Exposition Park,128000,97,98
1891,SL4,St. Louis Browns,AA,,139,,85,51,2,Sportsman's Park I,,108,108
1891,WS9,Washington Statesmen,AA,,139,,44,91,9,Boundary Field,,95,100
1892,BLN,Baltimore Orioles,NL,,152,,46,101,12,Union Park,93589,103,104
1892,BRO,Brooklyn Grooms,NL,,158,,95,59,3,Eastern Park,183727,96,96
1892,BSN,Boston Beaneaters,NL,,152,,102,48,1,South End Grounds II,146421,109,107
1892,CHN,Chicago Colts,NL,,146,,70,76,7,South Side Park I,109067,94,94
1892,CIN,Cincinnati Reds,NL,,155,,82,68,5,League Park I in Cincinnati,196473,99,99
1892,CL4,Cleveland Spiders,NL,,152,,93,56,2,League Park I,139928,104,103
1892,LS3,Louisville Colonels,NL,,154,,63,89,9,Eclipse Park I,131159,91,93
1892,NY1,New York Giants,NL,,152,,71,80,8,Polo Grounds III,130566,99,98
1892,PHI,Philadelphia Phillies,NL,,155,,87,66,4,Philadelphia Baseball Grounds,193731,100,99
1892,PIT,Pittsburgh Pirates,NL,,152,,80,73,6,Exposition Park,177205,100,100
1892,SLN,St. Louis Browns,NL,,155,,56,94,11,Sportsman's Park I,192442,105,104
1892,WAS,Washington Senators,NL,,153,,58,93,10,Boundary Field,128279,97,99
1893,BLN,Baltimore Orioles,NL,,130,,60,70,8,Union Park,143000,102,102
1893,BRO,Brooklyn Grooms,NL,,130,,65,63,7,Eastern Park,235000,95,95
1893,BSN,Boston Beaneaters,NL,,131,,86,43,1,South End Grounds II,193300,108,106
1893,CHN,Chicago Colts,NL,,128,,56,71,9,South Side Park I,223500,103,104
1893,CIN,Cincinnati Reds,NL,,131,,65,63,6,League Park I in Cincinnati,194250,102,103
1893,CL4,Cleveland Spiders,NL,,129,,73,55,3,League Park I,130000,106,105
1893,LS3,Louisville Colonels,NL,,126,,50,75,11,Eclipse Park II,53683,92,94
1893,NY1,New York Giants,NL,,136,,68,64,5,Polo Grounds III,290000,101,100
1893,PHI,Philadelphia Phillies,NL,,133,,72,57,4,Philadelphia Baseball Grounds,293019,102,101
1893,PIT,Pittsburgh Pirates,NL,,131,,81,48,2,Exposition Park,184000,98,98
1893,SLN,St. Louis Browns,NL,,135,,57,75,10,Robison Field,195000,100,101
1893,WAS,Washington Senators,NL,,130,,40,89,12,Boundary Field,90000,97,99
1894,BLN,Baltimore Orioles,NL,,129,,89,39,1,Union Park,328000,104,103
1894,BRO,Brooklyn Grooms,NL,,135,,70,61,5,Eastern Park,214000,93,93
1894,BSN,Boston Beaneaters,NL,,133,,83,49,3,South End Grounds II / Congress Street Grounds / South End Grounds III,152800,113,111
1894,CHN,Chicago Colts,NL,,136,,57,75,8,West Side Park II,239000,106,106
1894,CIN,Cincinnati Reds,NL,,134,,55,75,10,League Park II in Cincinnati,158000,103,104
1894,CL4,Cleveland Spiders,NL,,130,,68,61,6,League Park I,82000,104,103
1894,LS3,Louisville Colonels,NL,,130,,36,94,12,Eclipse Park II,75000,93,96
1894,NY1,New York Giants,NL,,139,,88,44,2,Polo Grounds III,387000,99,99
1894,PHI,Philadelphia Phillies,NL,,132,,71,57,4,Philadelphia Baseball Grounds,352773,96,94
1894,PIT,Pittsburgh Pirates,NL,,133,,65,65,7,Exposition Park,159000,99,98
1894,SLN,St. Louis Browns,NL,,133,,56,76,9,Robison Field,155000,100,102
1894,WAS,Washington Senators,NL,,132,,45,87,11,Boundary Field,125000,97,99
